case_id,case_family,true_continuation,artifact_similarity,task_progression,temporal_proximity,behavioral_similarity,independent_corroboration,evidence_current,baseline_linked,baseline_score,false_positive,false_negative,counterexample
RM-0277,ambiguous,False,0.565,0.561,0.438,0.717,0.119,True,False,0.5179,False,False,False
RM-0278,benign_same_domain,False,0.376,0.726,0.279,0.633,0.22,True,False,0.4629,False,False,False
RM-0279,true_continuation,True,0.882,0.618,0.554,0.62,0.94,True,True,0.7287,False,False,False
RM-0280,benign_shared_template,False,0.785,0.358,0.198,0.451,0.193,False,False,0.4709,False,False,False
RM-0281,ambiguous,False,0.818,0.892,0.718,0.87,0.152,True,True,0.7584,True,False,True
RM-0282,benign_shared_template,False,0.819,0.615,0.265,0.462,0.077,True,False,0.5461,False,False,False
RM-0283,true_continuation,True,0.841,0.87,0.957,0.859,0.764,True,True,0.8637,False,False,False
RM-0284,benign_same_domain,False,0.587,0.289,0.419,0.369,0.12,True,False,0.408,False,False,False
RM-0285,benign_shared_template,False,0.963,0.342,0.433,0.49,0.077,True,False,0.5637,False,False,False
RM-0286,benign_shared_template,False,0.93,0.502,0.344,0.654,0.176,False,False,0.6078,False,False,False
RM-0287,ambiguous,False,0.514,0.813,0.646,0.681,0.337,True,True,0.6152,True,False,True
RM-0288,benign_same_domain,False,0.687,0.367,0.766,0.594,0.021,True,False,0.5448,False,False,False
RM-0289,true_continuation,True,0.761,0.807,0.869,0.923,0.684,True,True,0.8065,False,False,False
RM-0290,benign_shared_template,False,0.844,0.63,0.691,0.552,0.199,True,True,0.6597,True,False,True
RM-0291,ambiguous,False,0.678,0.724,0.557,0.87,0.179,True,True,0.6442,True,False,True
RM-0292,ambiguous,False,0.685,0.846,0.779,0.886,0.118,True,True,0.712,True,False,True
RM-0293,benign_same_domain,False,0.702,0.41,0.714,0.337,0.211,False,False,0.5339,False,False,False
RM-0294,benign_same_domain,False,0.57,0.447,0.507,0.323,0.233,True,False,0.4609,False,False,False
RM-0295,ambiguous,False,0.549,0.65,0.456,0.82,0.4,True,False,0.5795,False,False,False
RM-0296,benign_shared_template,False,0.783,0.713,0.3,0.591,0.169,True,True,0.591,True,False,True
RM-0297,benign_same_domain,False,0.467,0.437,0.34,0.639,0.148,True,False,0.4291,False,False,False
RM-0298,benign_same_domain,False,0.558,0.679,0.211,0.573,0.199,True,False,0.4908,False,False,False
RM-0299,benign_same_domain,False,0.683,0.674,0.468,0.721,0.016,True,True,0.5808,True,False,True
RM-0300,benign_same_domain,False,0.643,0.639,0.603,0.541,0.156,True,False,0.5719,False,False,False
RM-0301,ambiguous,False,0.841,0.691,0.729,0.639,0.384,False,False,0.7109,False,False,False
RM-0302,true_continuation,True,0.879,0.717,0.611,0.634,0.715,True,True,0.7412,False,False,False
RM-0303,true_continuation,True,0.733,0.854,0.951,0.982,0.664,True,True,0.8292,False,False,False
RM-0304,true_continuation,True,0.972,0.706,0.526,0.993,0.653,True,True,0.7989,False,False,False
RM-0305,benign_same_domain,False,0.643,0.679,0.452,0.402,0.081,False,False,0.5273,False,False,False
RM-0306,true_continuation,True,0.871,0.786,0.991,0.578,0.589,False,False,0.803,False,True,True
RM-0307,ambiguous,False,0.861,0.812,0.726,0.753,0.238,True,True,0.7475,True,False,True
RM-0308,benign_shared_template,False,0.977,0.682,0.237,0.408,0.074,True,True,0.603,True,False,True
RM-0309,ambiguous,False,0.628,0.839,0.688,0.481,0.392,True,True,0.6453,True,False,True
RM-0310,benign_shared_template,False,0.839,0.724,0.638,0.4,0.156,True,True,0.6455,True,False,True
RM-0311,benign_shared_template,False,0.776,0.498,0.281,0.779,0.144,False,False,0.5574,False,False,False
RM-0312,ambiguous,False,0.498,0.544,0.861,0.82,0.201,True,True,0.5898,True,False,True
RM-0313,true_continuation,True,0.855,0.848,0.957,0.98,0.87,True,True,0.8907,False,False,False
RM-0314,benign_same_domain,False,0.406,0.586,0.15,0.525,0.14,True,False,0.3932,False,False,False
RM-0315,benign_shared_template,False,0.969,0.672,0.138,0.432,0.16,True,True,0.5921,True,False,True
RM-0316,benign_same_domain,False,0.373,0.676,0.35,0.459,0.13,True,False,0.4293,False,False,False
RM-0317,benign_same_domain,False,0.811,0.443,0.747,0.433,0.2,True,True,0.5971,True,False,True
RM-0318,benign_shared_template,False,0.807,0.625,0.54,0.369,0.102,True,True,0.5834,True,False,True
RM-0319,ambiguous,False,0.723,0.766,0.311,0.876,0.102,True,True,0.6185,True,False,True
RM-0320,benign_same_domain,False,0.795,0.528,0.151,0.682,0.089,True,False,0.5286,False,False,False
RM-0321,ambiguous,False,0.772,0.9,0.503,0.838,0.33,True,True,0.7193,True,False,True
RM-0322,ambiguous,False,0.467,0.624,0.586,0.771,0.211,True,False,0.5431,False,False,False
RM-0323,benign_same_domain,False,0.491,0.583,0.216,0.513,0.028,True,False,0.4204,False,False,False
RM-0324,true_continuation,True,0.641,0.681,0.761,0.893,0.865,True,True,0.7299,False,False,False
RM-0325,benign_same_domain,False,0.443,0.507,0.679,0.643,0.187,True,False,0.5032,False,False,False
RM-0326,benign_shared_template,False,0.783,0.566,0.33,0.365,0.125,True,False,0.5251,False,False,False
RM-0327,ambiguous,False,0.587,0.521,0.379,0.677,0.394,False,False,0.527,False,False,False
RM-0328,benign_same_domain,False,0.502,0.745,0.621,0.625,0.147,False,False,0.5635,False,False,False
RM-0329,true_continuation,True,0.932,0.754,0.659,0.964,0.76,True,True,0.8274,False,False,False
RM-0330,benign_shared_template,False,0.851,0.398,0.308,0.454,0.082,True,False,0.5121,False,False,False
RM-0331,ambiguous,False,0.892,0.843,0.517,0.642,0.263,True,True,0.7148,True,False,True
RM-0332,benign_same_domain,False,0.378,0.605,0.629,0.695,0.086,False,False,0.4928,False,False,False
RM-0333,benign_same_domain,False,0.835,0.564,0.486,0.345,0.185,True,False,0.5735,False,False,False
RM-0334,benign_same_domain,False,0.512,0.451,0.44,0.747,0.145,True,False,0.4806,False,False,False
RM-0335,benign_same_domain,False,0.746,0.647,0.284,0.419,0.12,True,False,0.5307,False,False,False
RM-0336,benign_same_domain,False,0.622,0.734,0.341,0.384,0.182,True,False,0.521,False,False,False
RM-0337,true_continuation,True,0.684,0.962,0.913,0.928,0.896,True,True,0.8473,False,False,False
RM-0338,benign_shared_template,False,0.873,0.481,0.685,0.355,0.116,False,False,0.5969,False,False,False
RM-0339,ambiguous,False,0.673,0.629,0.489,0.8,0.418,False,False,0.6216,False,False,False
RM-0340,benign_shared_template,False,0.732,0.719,0.4,0.709,0.183,True,True,0.611,True,False,True
RM-0341,ambiguous,False,0.87,0.522,0.581,0.828,0.401,True,True,0.6817,True,False,True
RM-0342,ambiguous,False,0.876,0.788,0.663,0.682,0.432,False,False,0.745,False,False,False
RM-0343,benign_shared_template,False,0.783,0.685,0.493,0.363,0.046,True,False,0.5748,False,False,False
RM-0344,benign_shared_template,False,0.918,0.338,0.55,0.412,0.151,True,False,0.565,False,False,False
RM-0345,ambiguous,False,0.606,0.691,0.347,0.758,0.445,True,True,0.585,True,False,True
RM-0346,benign_shared_template,False,0.909,0.57,0.285,0.835,0.145,False,False,0.6286,False,False,False
RM-0347,true_continuation,True,0.98,0.627,0.563,0.826,0.971,False,False,0.7978,False,True,True
RM-0348,benign_same_domain,False,0.448,0.559,0.741,0.725,0.239,False,False,0.5453,False,False,False
RM-0349,true_continuation,True,0.997,0.978,0.88,0.837,0.752,True,True,0.9245,False,False,False
RM-0350,true_continuation,True,0.841,0.659,0.688,0.609,0.616,True,True,0.7148,False,False,False
RM-0351,benign_shared_template,False,0.906,0.376,0.14,0.548,0.143,True,False,0.5145,False,False,False
RM-0352,benign_shared_template,False,0.788,0.551,0.265,0.662,0.089,False,False,0.5494,False,False,False
RM-0353,benign_shared_template,False,0.986,0.576,0.405,0.75,0.098,True,True,0.6612,True,False,True
RM-0354,ambiguous,False,0.61,0.541,0.678,0.807,0.304,True,True,0.6027,True,False,True
RM-0355,benign_same_domain,False,0.803,0.517,0.214,0.731,0.055,True,False,0.5435,False,False,False
RM-0356,benign_same_domain,False,0.415,0.737,0.175,0.313,0.124,True,False,0.4057,False,False,False
RM-0357,benign_same_domain,False,0.833,0.322,0.398,0.59,0.044,True,False,0.5191,False,False,False
RM-0358,true_continuation,True,0.995,0.666,0.623,0.581,0.797,True,True,0.7713,False,False,False
RM-0359,benign_same_domain,False,0.558,0.434,0.42,0.689,0.165,False,False,0.4824,False,False,False
RM-0360,ambiguous,False,0.606,0.775,0.574,0.637,0.32,False,False,0.6165,False,False,False
RM-0361,benign_shared_template,False,0.733,0.409,0.656,0.842,0.139,True,True,0.5972,True,False,True
RM-0362,ambiguous,False,0.684,0.66,0.509,0.51,0.267,True,True,0.5807,True,False,True
RM-0363,benign_same_domain,False,0.563,0.556,0.66,0.505,0.016,True,False,0.516,False,False,False
RM-0364,true_continuation,True,0.918,0.949,0.588,0.685,0.703,True,True,0.8119,False,False,False
RM-0365,benign_same_domain,False,0.504,0.539,0.389,0.425,0.227,True,False,0.4529,False,False,False
RM-0366,ambiguous,False,0.711,0.677,0.829,0.673,0.095,True,True,0.6572,True,False,True
RM-0367,benign_same_domain,False,0.455,0.491,0.286,0.402,0.2,True,False,0.4003,False,False,False
RM-0368,true_continuation,True,0.823,0.817,0.629,0.946,0.762,True,True,0.7978,False,False,False
RM-0369,ambiguous,False,0.492,0.792,0.705,0.791,0.076,True,True,0.6026,True,False,True
RM-0370,ambiguous,False,0.708,0.599,0.344,0.463,0.117,True,False,0.5229,False,False,False
RM-0371,benign_shared_template,False,0.792,0.594,0.566,0.541,0.182,False,False,0.6077,False,False,False
RM-0372,ambiguous,False,0.781,0.718,0.74,0.895,0.139,True,True,0.7103,True,False,True
RM-0373,true_continuation,True,0.672,0.699,0.705,0.645,0.997,True,True,0.7131,False,False,False
RM-0374,benign_shared_template,False,0.86,0.352,0.527,0.408,0.153,True,False,0.5442,False,False,False
RM-0375,true_continuation,True,0.999,0.913,0.847,0.681,0.541,True,True,0.8607,False,False,False
RM-0376,benign_same_domain,False,0.648,0.521,0.171,0.768,0.016,True,False,0.4853,False,False,False
RM-0377,benign_same_domain,False,0.578,0.4,0.747,0.39,0.025,True,False,0.4841,False,False,False
RM-0378,benign_shared_template,False,0.961,0.503,0.516,0.829,0.179,False,False,0.6743,False,False,False
RM-0379,benign_shared_template,False,0.9,0.66,0.386,0.355,0.133,False,False,0.5969,False,False,False
RM-0380,true_continuation,True,0.834,0.85,0.537,0.625,0.574,True,True,0.7291,False,False,False
RM-0381,ambiguous,False,0.801,0.623,0.451,0.747,0.393,True,True,0.6469,True,False,True
RM-0382,benign_same_domain,False,0.695,0.369,0.247,0.529,0.098,False,False,0.4532,False,False,False
RM-0383,benign_same_domain,False,0.756,0.59,0.79,0.632,0.078,True,True,0.6371,True,False,True
RM-0384,ambiguous,False,0.877,0.517,0.457,0.889,0.408,True,True,0.6698,True,False,True
RM-0385,true_continuation,True,0.833,0.635,0.993,0.769,0.765,True,True,0.7985,False,False,False
RM-0386,benign_same_domain,False,0.737,0.368,0.418,0.664,0.196,True,False,0.5267,False,False,False
RM-0387,ambiguous,False,0.786,0.722,0.594,0.709,0.138,True,True,0.6605,True,False,True
RM-0388,benign_same_domain,False,0.805,0.498,0.158,0.754,0.229,True,False,0.5501,False,False,False
RM-0389,ambiguous,False,0.581,0.846,0.85,0.713,0.187,True,True,0.6721,True,False,True
RM-0390,true_continuation,True,0.623,0.743,0.778,0.664,0.986,False,False,0.7217,False,True,True
RM-0391,ambiguous,False,0.86,0.76,0.865,0.793,0.341,True,True,0.7756,True,False,True
RM-0392,benign_same_domain,False,0.847,0.606,0.542,0.653,0.032,False,False,0.6256,False,False,False
RM-0393,benign_same_domain,False,0.717,0.588,0.709,0.733,0.205,True,True,0.6356,True,False,True
RM-0394,benign_shared_template,False,0.931,0.505,0.449,0.469,0.005,True,True,0.5847,True,False,True
RM-0395,benign_same_domain,False,0.669,0.351,0.342,0.576,0.004,False,False,0.4543,False,False,False
RM-0396,ambiguous,False,0.745,0.801,0.573,0.724,0.258,True,True,0.6758,True,False,True
RM-0397,benign_same_domain,False,0.7,0.667,0.782,0.73,0.128,False,False,0.6538,False,False,False
RM-0398,benign_same_domain,False,0.425,0.563,0.369,0.761,0.024,True,False,0.455,False,False,False
RM-0399,true_continuation,True,0.704,0.968,0.629,0.594,0.529,True,True,0.721,False,False,False
RM-0400,benign_same_domain,False,0.751,0.656,0.8,0.785,0.228,True,True,0.6895,True,False,True
RM-0401,benign_same_domain,False,0.761,0.742,0.541,0.46,0.059,True,True,0.6045,True,False,True
RM-0402,benign_shared_template,False,0.741,0.767,0.557,0.561,0.194,True,True,0.6342,True,False,True
RM-0403,true_continuation,True,0.949,0.617,0.9,0.828,0.509,True,True,0.7996,False,False,False
RM-0404,benign_shared_template,False,0.846,0.572,0.463,0.687,0.184,False,False,0.6228,False,False,False
RM-0405,benign_shared_template,False,0.878,0.335,0.402,0.814,0.144,False,False,0.5796,False,False,False
RM-0406,ambiguous,False,0.538,0.623,0.403,0.561,0.367,True,False,0.5202,False,False,False
RM-0407,benign_shared_template,False,0.721,0.746,0.222,0.405,0.054,True,False,0.5262,False,False,False
RM-0408,ambiguous,False,0.769,0.881,0.591,0.866,0.052,True,True,0.7057,True,False,True
RM-0409,benign_same_domain,False,0.595,0.522,0.259,0.634,0.188,True,False,0.4818,False,False,False
RM-0410,benign_same_domain,False,0.57,0.567,0.315,0.679,0.249,True,False,0.5065,False,False,False
RM-0411,true_continuation,True,0.627,0.898,0.77,0.695,0.837,True,True,0.7483,False,False,False
RM-0412,ambiguous,False,0.645,0.692,0.289,0.634,0.103,True,False,0.5365,False,False,False
RM-0413,benign_shared_template,False,0.772,0.582,0.346,0.609,0.179,True,False,0.5676,False,False,False
RM-0414,true_continuation,True,0.772,0.841,0.613,0.594,0.497,True,True,0.7075,False,False,False
RM-0415,true_continuation,True,0.859,0.807,0.871,0.592,0.949,True,True,0.8203,False,False,False
RM-0416,benign_same_domain,False,0.818,0.73,0.415,0.542,0.014,True,True,0.6053,True,False,True
RM-0417,benign_shared_template,False,0.974,0.747,0.244,0.623,0.126,True,True,0.6542,True,False,True
RM-0418,true_continuation,True,0.94,0.953,0.896,0.862,0.617,True,True,0.892,False,False,False
RM-0419,true_continuation,True,0.66,0.755,0.716,0.661,0.824,True,True,0.7094,False,False,False
RM-0420,true_continuation,True,0.779,0.933,0.751,0.687,0.654,True,True,0.7855,False,False,False
RM-0421,benign_shared_template,False,0.933,0.361,0.56,0.579,0.045,True,True,0.5902,True,False,True
RM-0422,ambiguous,False,0.568,0.668,0.472,0.666,0.439,True,False,0.5755,False,False,False
RM-0423,ambiguous,False,0.681,0.462,0.263,0.612,0.268,True,False,0.5022,False,False,False
RM-0424,benign_shared_template,False,0.959,0.734,0.682,0.801,0.091,True,True,0.7462,True,False,True
RM-0425,true_continuation,True,0.946,0.738,0.47,0.889,0.507,True,True,0.7585,False,False,False
RM-0426,ambiguous,False,0.778,0.726,0.704,0.532,0.196,False,False,0.6596,False,False,False
RM-0427,benign_same_domain,False,0.684,0.424,0.197,0.798,0.161,True,False,0.4976,False,False,False
RM-0428,true_continuation,True,0.982,0.738,0.713,0.758,0.629,True,True,0.8084,False,False,False
RM-0429,benign_shared_template,False,0.842,0.301,0.463,0.639,0.115,True,False,0.5428,False,False,False
RM-0430,benign_shared_template,False,0.92,0.309,0.683,0.6,0.197,True,True,0.6136,True,False,True
RM-0431,benign_same_domain,False,0.46,0.659,0.271,0.453,0.075,False,False,0.4343,False,False,False
RM-0432,benign_shared_template,False,0.764,0.455,0.53,0.474,0.012,True,False,0.5319,False,False,False
RM-0433,benign_shared_template,False,0.737,0.627,0.329,0.46,0.18,True,False,0.5427,False,False,False
RM-0434,benign_shared_template,False,0.702,0.671,0.665,0.497,0.188,True,True,0.6078,True,False,True
RM-0435,benign_same_domain,False,0.601,0.596,0.243,0.69,0.221,False,False,0.5098,False,False,False
RM-0436,benign_shared_template,False,0.719,0.64,0.285,0.657,0.022,True,False,0.5435,False,False,False
RM-0437,true_continuation,True,0.604,0.667,0.706,0.769,0.655,True,True,0.6657,False,False,False
RM-0438,ambiguous,False,0.473,0.625,0.569,0.566,0.105,True,False,0.503,False,False,False
RM-0439,ambiguous,False,0.63,0.508,0.448,0.807,0.415,True,False,0.5712,False,False,False
RM-0440,ambiguous,False,0.795,0.564,0.316,0.579,0.341,False,False,0.5777,False,False,False
RM-0441,true_continuation,True,0.653,0.921,0.628,0.894,0.848,True,True,0.7661,False,False,False
RM-0442,true_continuation,True,0.769,0.946,0.54,0.856,0.521,True,True,0.7576,False,False,False
RM-0443,benign_shared_template,False,0.856,0.608,0.298,0.665,0.182,False,False,0.6019,False,False,False
RM-0444,benign_shared_template,False,0.971,0.734,0.295,0.412,0.111,True,True,0.6282,True,False,True
RM-0445,ambiguous,False,0.772,0.551,0.342,0.698,0.119,True,False,0.5659,False,False,False
RM-0446,true_continuation,True,0.977,0.751,0.509,0.56,0.733,True,True,0.7557,False,False,False
RM-0447,benign_same_domain,False,0.551,0.262,0.254,0.465,0.201,True,False,0.3811,False,False,False
RM-0448,benign_shared_template,False,0.828,0.693,0.293,0.652,0.093,True,True,0.6012,True,False,True
RM-0449,benign_same_domain,False,0.838,0.631,0.762,0.582,0.135,True,True,0.6685,True,False,True
RM-0450,benign_same_domain,False,0.361,0.406,0.19,0.637,0.214,True,False,0.365,False,False,False
RM-0451,benign_same_domain,False,0.526,0.544,0.425,0.564,0.202,True,False,0.4851,False,False,False
RM-0452,true_continuation,True,0.8,0.642,0.948,0.556,0.882,True,True,0.7628,False,False,False
RM-0453,true_continuation,True,0.661,0.866,0.922,0.844,0.844,False,False,0.8011,False,True,True
RM-0454,benign_same_domain,False,0.743,0.644,0.255,0.727,0.029,False,False,0.5578,False,False,False
RM-0455,benign_same_domain,False,0.748,0.669,0.247,0.566,0.078,True,False,0.5464,False,False,False
RM-0456,benign_same_domain,False,0.58,0.52,0.599,0.58,0.247,True,False,0.5357,False,False,False
RM-0457,true_continuation,True,0.867,0.637,0.523,0.575,0.926,False,False,0.7149,False,True,True
RM-0458,ambiguous,False,0.608,0.637,0.592,0.408,0.442,True,False,0.5675,False,False,False
RM-0459,ambiguous,False,0.456,0.615,0.266,0.652,0.104,False,False,0.4522,False,False,False
RM-0460,true_continuation,True,0.694,0.602,0.777,0.614,0.942,True,True,0.7005,False,False,False
RM-0461,benign_same_domain,False,0.469,0.657,0.779,0.764,0.106,True,False,0.5749,False,False,False
RM-0462,true_continuation,True,0.736,0.995,0.953,0.554,0.642,False,False,0.8023,False,True,True
RM-0463,benign_same_domain,False,0.457,0.598,0.529,0.35,0.103,True,False,0.4534,False,False,False
RM-0464,ambiguous,False,0.451,0.713,0.712,0.648,0.428,True,True,0.5861,True,False,True
RM-0465,benign_shared_template,False,0.809,0.36,0.132,0.413,0.087,True,False,0.4517,False,False,False
RM-0466,benign_shared_template,False,0.803,0.647,0.308,0.478,0.035,True,False,0.5542,False,False,False
RM-0467,benign_same_domain,False,0.374,0.393,0.535,0.338,0.161,True,False,0.3812,False,False,False
RM-0468,ambiguous,False,0.568,0.581,0.472,0.595,0.248,True,False,0.5256,False,False,False
RM-0469,benign_same_domain,False,0.696,0.579,0.155,0.448,0.107,False,False,0.4769,False,False,False
RM-0470,benign_same_domain,False,0.569,0.383,0.625,0.667,0.192,True,False,0.5105,False,False,False
RM-0471,benign_shared_template,False,0.829,0.484,0.531,0.724,0.012,True,True,0.5962,True,False,True
RM-0472,ambiguous,False,0.566,0.864,0.285,0.607,0.308,True,False,0.5669,False,False,False
RM-0473,benign_same_domain,False,0.678,0.336,0.19,0.635,0.144,True,False,0.4487,False,False,False
RM-0474,true_continuation,True,0.704,0.656,0.92,0.875,0.955,True,True,0.7804,False,False,False
RM-0475,ambiguous,False,0.85,0.564,0.578,0.472,0.347,True,True,0.6292,True,False,True
RM-0476,benign_same_domain,False,0.48,0.362,0.603,0.302,0.054,False,False,0.4063,False,False,False
RM-0477,benign_same_domain,False,0.483,0.663,0.402,0.796,0.225,False,False,0.5296,False,False,False
RM-0478,benign_same_domain,False,0.739,0.581,0.365,0.502,0.162,True,False,0.5429,False,False,False
RM-0479,benign_shared_template,False,0.981,0.328,0.251,0.845,0.182,True,True,0.5939,True,False,True
RM-0480,ambiguous,False,0.508,0.635,0.6,0.491,0.191,True,False,0.521,False,False,False
RM-0481,benign_shared_template,False,0.705,0.378,0.395,0.686,0.098,True,False,0.5074,False,False,False
RM-0482,ambiguous,False,0.825,0.747,0.634,0.507,0.185,True,True,0.6634,True,False,True
RM-0483,ambiguous,False,0.733,0.695,0.304,0.639,0.162,False,False,0.5764,False,False,False
RM-0484,benign_shared_template,False,0.755,0.384,0.153,0.622,0.018,True,False,0.4653,False,False,False
RM-0485,true_continuation,True,0.696,0.851,0.808,0.771,0.745,True,True,0.7688,False,False,False
RM-0486,ambiguous,False,0.846,0.606,0.455,0.425,0.215,True,True,0.596,True,False,True
RM-0487,benign_same_domain,False,0.834,0.309,0.758,0.659,0.218,False,False,0.6082,False,False,False
RM-0488,true_continuation,True,0.689,0.991,0.973,0.803,0.934,True,True,0.8531,False,False,False
RM-0489,benign_same_domain,False,0.797,0.339,0.375,0.34,0.082,False,False,0.4756,False,False,False
RM-0490,benign_shared_template,False,0.971,0.419,0.263,0.484,0.183,True,False,0.5641,False,False,False
RM-0491,ambiguous,False,0.761,0.637,0.423,0.548,0.407,True,True,0.6052,True,False,True
RM-0492,benign_same_domain,False,0.465,0.714,0.539,0.78,0.234,True,False,0.5591,False,False,False
RM-0493,ambiguous,False,0.463,0.633,0.716,0.888,0.151,True,False,0.5776,False,False,False
RM-0494,ambiguous,False,0.824,0.544,0.836,0.75,0.242,True,True,0.6904,True,False,True
RM-0495,ambiguous,False,0.838,0.659,0.685,0.868,0.176,True,True,0.7055,True,False,True
RM-0496,ambiguous,False,0.63,0.583,0.498,0.456,0.109,False,False,0.5185,False,False,False
RM-0497,true_continuation,True,0.99,0.919,0.837,0.734,0.692,False,False,0.8798,False,True,True
RM-0498,benign_shared_template,False,0.749,0.543,0.683,0.601,0.078,True,True,0.5999,True,False,True
RM-0499,benign_shared_template,False,0.975,0.535,0.362,0.767,0.191,False,False,0.6515,False,False,False
RM-0500,ambiguous,False,0.451,0.514,0.728,0.705,0.198,True,False,0.5262,False,False,False
